Year,Giro,Giro first-second,Tour,Tour first-second,Vuelta,Vuelta first-second
1990,0:06:33,Bugno - Mottet,0:02:16,Lemond - Chiappucci,0:01:28,Giovannetti - Delgado
1991,0:03:48,Chioccioli - Chiappucci,0:03:36,Indurain - Bugno,0:02:52,Mauri - Indurain
1992,0:05:12,Indurain - Chiappucci,0:04:35,Indurain - Chiappucci,0:01:04,Rominger - Montoya
1993,0:00:58,Indurain - Ugrumov,0:04:59,Indurain - Rominger,0:00:29,Rominger - Zuelle
1994,0:02:51,Berzin - Pantani,0:05:39,Indurain - Ugrumov,0:07:28,Rominger - Zarrabeitia
1995,0:04:13,Rominger - Berzin,0:04:35,Indurain - Zuelle,0:04:22,Jalabert - Olano
1996,0:02:43,Tonkov - Zaina,0:01:41,Riis - Ullrich,0:06:23,Zuelle - Dufaux
1997,0:01:27,Gotti - Tonkov,0:09:09,Ullrich - Virenque,0:05:07,Zuelle - Escartin
1998,0:01:33,Pantani - Tonkov,0:03:21,Pantani - Ullrich,0:01:23,Olano - Escartin
1999,0:03:35,Gotti - Savoldelli,0:07:37,Armstrong - Zuelle,0:04:15,Ullrich - Gonzalez de G.
2000,0:01:27,Garzelli - Casagrande,0:06:02,Armstrong - Ullrich,0:02:33,Heras - Casero
2001,0:07:31,Simoni - Olano,0:06:44,Armstrong - Ullrich,0:00:47,Casero - Sevilla
2002,0:01:41,Savoldelli - Hamilton,0:07:17,Armstrong - Beloki,0:02:14,Gonzalez - Heras
2003,0:07:06,Simoni - Garzelli,0:01:01,Armstrong - Ullrich,0:00:28,Heras - Nozal
2004,0:02:02,Cunego - Honchar,0:06:19,Armstrong - Kloeden,0:00:30,Heras - Perez
2005,0:00:28,Savoldelli - Simoni,0:04:40,Armstrong - Basso,0:04:36,Heras - Menchov
2006,0:09:18,Basso - Gutierrez,0:00:32,Pereiro - Kloeden,0:01:12,Vinokourov - Valverde
2007,0:01:55,Di Luca - Schleck,0:00:23,Contador - Evans,0:03:31,Menchov - Sastre
2008,0:01:57,Contador - Ricco,0:00:58,Sastre - Evans,0:00:46,Contador - Leipheimer
2009,0:00:41,Menchov - Di Luca,0:04:11,Contador - Schleck,0:00:55,Valverde - Sanchez S.
2010,0:01:51,Basso - Arroyo,0:00:39,Contador - Schleck,0:00:41,Nibali - Mosquera
2011,0:06:10,Contador - Scarponi,0:01:34,Evans - Schleck,0:00:13,Cobo - Froome
2012,0:00:16,Hesjedal - Rodriguez,0:03:21,Wiggins - Froome,0:01:16,Contador - Valverde
2013,0:04:43,Nibali - Uran,0:04:20,Froome - Quintana,0:00:37,Horner - Nibali
2014,0:02:58,Quintana - Uran,0:07:37,Nibali - Peraud,0:01:10,Contador - Froome
2015,0:01:53,Contador - Aru,0:01:12,Froome - Quintana,0:00:57,Aru - Rodriguez
2016,0:00:52,Nibali - Chaves,0:04:05,Froome - Bardet,0:01:23,Quintana - Froome
2017,0:00:31,Dumoulin - Quintana,0:00:54,Froome - Uran,0:02:15,Froome - Nibali
2018,0:00:46,Froome - Dumoulin,0:01:51,Thomas - Dumoulin,0:01:46,Yates S. - Mas
2019,0:01:05,Carapaz - Nibali,,,,
